Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
HSCL,2021-11-29 00:00:00+05:30,44.26,46.2,44.26,45.41,5639678,0.0,0.0
HSCL,2021-12-06 00:00:00+05:30,45.46,47.2,44.86,46.2,16318088,0.0,0.0
HSCL,2021-12-13 00:00:00+05:30,46.55,47.45,43.42,43.67,11362697,0.0,0.0
HSCL,2021-12-20 00:00:00+05:30,43.37,44.01,41.33,42.72,9738419,0.0,0.0
HSCL,2021-12-27 00:00:00+05:30,42.72,45.36,42.13,44.91,13494181,0.0,0.0
HSCL,2022-01-03 00:00:00+05:30,45.71,48.09,44.26,46.9,20082904,0.0,0.0
HSCL,2022-01-10 00:00:00+05:30,47.3,54.11,47.15,53.12,55396395,0.0,0.0
HSCL,2022-01-17 00:00:00+05:30,53.32,65.05,52.37,58.98,170575336,0.0,0.0
HSCL,2022-01-24 00:00:00+05:30,58.98,61.17,52.42,56.95,66043855,0.0,0.0
HSCL,2022-01-31 00:00:00+05:30,57.79,67.29,54.96,63.31,151530098,0.0,0.0
HSCL,2022-02-07 00:00:00+05:30,62.96,68.73,60.92,61.52,85497455,0.0,0.0
HSCL,2022-02-14 00:00:00+05:30,59.58,59.58,53.46,55.3,41425642,0.0,0.0
HSCL,2022-02-21 00:00:00+05:30,55.21,55.7,50.53,53.86,43716673,0.0,0.0
HSCL,2022-02-28 00:00:00+05:30,53.41,58.64,51.82,55.75,24460273,0.0,0.0
HSCL,2022-03-07 00:00:00+05:30,55.11,59.38,52.97,57.19,26335533,0.0,0.0
HSCL,2022-03-14 00:00:00+05:30,57.49,62.96,56.2,59.93,43297304,0.0,0.0
HSCL,2022-03-21 00:00:00+05:30,60.28,65.8,59.38,64.01,51861292,0.0,0.0
HSCL,2022-03-28 00:00:00+05:30,64.26,78.08,61.22,76.69,136007540,0.0,0.0
HSCL,2022-04-04 00:00:00+05:30,78.08,85.05,76.84,79.08,69409912,0.0,0.0
HSCL,2022-04-11 00:00:00+05:30,78.88,81.07,74.6,78.48,15848850,0.0,0.0
HSCL,2022-04-18 00:00:00+05:30,78.28,79.87,73.16,75.75,35262926,0.0,0.0
HSCL,2022-04-25 00:00:00+05:30,75.35,76.84,68.14,68.93,25282711,0.0,0.0
HSCL,2022-05-02 00:00:00+05:30,68.14,73.36,66.69,67.74,36554390,0.0,0.0
HSCL,2022-05-09 00:00:00+05:30,67.44,67.44,55.8,60.08,46993183,0.0,0.0
HSCL,2022-05-16 00:00:00+05:30,60.58,67.24,60.08,64.21,28522939,0.0,0.0
HSCL,2022-05-23 00:00:00+05:30,64.56,68.73,57.24,64.65,36490266,0.0,0.0
HSCL,2022-05-30 00:00:00+05:30,65.45,73.01,65.25,68.34,38436991,0.0,0.0
HSCL,2022-06-06 00:00:00+05:30,68.63,70.57,65.85,69.03,24691165,0.0,0.0
HSCL,2022-06-13 00:00:00+05:30,67.04,67.04,57.89,58.79,22297237,0.0,0.0
HSCL,2022-06-20 00:00:00+05:30,58.98,61.87,55.11,59.18,23603527,0.0,0.0
HSCL,2022-06-27 00:00:00+05:30,61.07,61.27,58.39,59.73,12209009,0.0,0.0
HSCL,2022-07-04 00:00:00+05:30,59.73,84.05,59.38,82.11,152969205,0.0,0.0
HSCL,2022-07-11 00:00:00+05:30,80.52,92.7,78.23,85.2,145937413,0.0,0.0
HSCL,2022-07-18 00:00:00+05:30,85.64,88.88,82.51,84.45,24012141,0.0,0.0
