Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2021-12-02 00:00:00+05:30,81.01,83.6,79.27,80.57,114935,0.0,0.0
TI,2021-12-03 00:00:00+05:30,82.16,82.16,79.67,80.67,136022,0.0,0.0
TI,2021-12-06 00:00:00+05:30,80.67,83.65,78.92,82.91,277481,0.0,0.0
TI,2021-12-07 00:00:00+05:30,83.85,87.04,83.65,87.04,140728,0.0,0.0
TI,2021-12-08 00:00:00+05:30,91.37,91.37,90.62,91.37,181144,0.0,0.0
TI,2021-12-09 00:00:00+05:30,94.61,94.61,87.64,88.98,371789,0.0,0.0
TI,2021-12-10 00:00:00+05:30,88.63,89.63,85.64,88.83,172145,0.0,0.0
TI,2021-12-13 00:00:00+05:30,91.52,93.11,87.64,88.23,190873,0.0,0.0
TI,2021-12-14 00:00:00+05:30,86.24,90.03,84.1,86.34,191633,0.0,0.0
TI,2021-12-15 00:00:00+05:30,86.64,88.63,86.64,87.74,111556,0.0,0.0
TI,2021-12-16 00:00:00+05:30,88.63,92.12,84.7,92.12,329718,0.0,0.0
TI,2021-12-17 00:00:00+05:30,93.51,94.61,88.48,90.97,272645,0.0,0.0
TI,2021-12-20 00:00:00+05:30,90.62,90.62,86.44,86.44,244810,0.0,0.0
TI,2021-12-21 00:00:00+05:30,85.74,90.72,85.74,90.23,281735,0.0,0.0
TI,2021-12-22 00:00:00+05:30,93.31,93.31,89.63,90.67,112911,0.0,0.0
TI,2021-12-23 00:00:00+05:30,91.92,92.62,90.47,90.92,104689,0.0,0.0
TI,2021-12-24 00:00:00+05:30,92.42,93.06,89.68,90.47,85134,0.0,0.0
TI,2021-12-27 00:00:00+05:30,89.78,89.78,87.29,87.98,57526,0.0,0.0
TI,2021-12-28 00:00:00+05:30,87.64,89.63,85.99,88.88,189315,0.0,0.0
TI,2021-12-29 00:00:00+05:30,90.37,91.12,85.64,89.48,107226,0.0,0.0
TI,2021-12-30 00:00:00+05:30,89.48,89.58,86.94,88.58,93250,0.0,0.0
TI,2021-12-31 00:00:00+05:30,89.13,92.96,87.09,92.96,361854,0.0,0.0
TI,2022-01-03 00:00:00+05:30,93.61,97.59,91.62,97.59,247288,0.0,0.0
