Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2021-11-29 00:00:00+05:30,81.01,83.6,79.27,80.67,250957,0.0,0.0
TI,2021-12-06 00:00:00+05:30,80.67,94.61,78.92,88.83,1143287,0.0,0.0
TI,2021-12-13 00:00:00+05:30,91.52,94.61,84.1,90.97,1096425,0.0,0.0
TI,2021-12-20 00:00:00+05:30,90.62,93.31,85.74,90.47,829279,0.0,0.0
TI,2021-12-27 00:00:00+05:30,89.78,92.96,85.64,92.96,809171,0.0,0.0
TI,2022-01-03 00:00:00+05:30,93.61,102.47,91.62,93.86,1482643,0.0,0.0
TI,2022-01-10 00:00:00+05:30,96.3,96.3,88.03,90.28,872606,0.0,0.0
TI,2022-01-17 00:00:00+05:30,90.23,91.47,84.3,85.05,520850,0.0,0.0
TI,2022-01-24 00:00:00+05:30,86.04,86.04,76.78,78.92,676197,0.0,0.0
TI,2022-01-31 00:00:00+05:30,80.62,80.81,74.59,77.23,474338,0.0,0.0
TI,2022-02-07 00:00:00+05:30,79.57,85.0,75.04,77.13,1996578,0.0,0.0
TI,2022-02-14 00:00:00+05:30,73.3,75.49,69.66,72.2,1600001,0.0,0.0
TI,2022-02-21 00:00:00+05:30,71.7,72.4,64.33,67.02,2257512,0.0,0.0
TI,2022-02-28 00:00:00+05:30,65.73,72.75,64.48,69.51,990507,0.0,0.0
TI,2022-03-07 00:00:00+05:30,67.72,74.59,66.08,73.2,1346146,0.0,0.0
TI,2022-03-14 00:00:00+05:30,74.69,74.69,68.71,72.0,745335,0.0,0.0
TI,2022-03-21 00:00:00+05:30,72.1,74.49,67.72,68.02,741636,0.0,0.0
TI,2022-03-28 00:00:00+05:30,68.96,69.66,65.23,68.22,1121439,0.0,0.0
TI,2022-04-04 00:00:00+05:30,69.71,75.19,69.36,71.35,1042732,0.0,0.0
TI,2022-04-11 00:00:00+05:30,73.1,74.14,70.51,71.65,544622,0.0,0.0
TI,2022-04-18 00:00:00+05:30,71.65,72.6,67.97,70.01,452792,0.0,0.0
TI,2022-04-25 00:00:00+05:30,69.66,72.4,67.67,68.12,818482,0.0,0.0
